Loc ID,County,Community,On,From,To,Approach,At,Dir,Latitude,Longitude,Latest,Latest Date
1014,BERKSHIRE,NORTH ADAMS,CHURCH STREET,,,SOUTH OF,DAVENPORT ST.,2-WAY,42.6874826042,-73.1004589488,3326,1/1/2012
1015,BERKSHIRE,NORTH ADAMS,MONTANA STREET,,,NORTH OF,LAWRENCE ST.,2-WAY,42.6916847417,-73.105205079,750,1/1/1991
1016,BERKSHIRE,NORTH ADAMS,BEAVER STREET,,,NORTH OF,RTE.2,2-WAY,42.7034686324,-73.0895357231,2613,1/1/2012
1017,BERKSHIRE,HANCOCK,LEBANON MOUNTAIN ROAD,,,AT,NEW YORK STATE LINE,2-WAY,42.4474713328,-73.3748283732,5419,1/1/2012
1018,BERKSHIRE,HANCOCK,RICHMOND ROAD,,,AT,RICHMOND,2-WAY,42.4204077571,-73.3495818095,3900,1/1/1998
1019,BERKSHIRE,LANESBOROUGH,NORTH MAIN STREET,,,SOUTH OF,WILLIAMSTOWN RD.,2-WAY,42.5361731664,-73.2292750516,6840,1/1/2012
1020,BERKSHIRE,LANESBOROUGH,BAILEY ROAD,,,WEST OF,RTE.7,2-WAY,42.5403946869,-73.2326883161,2300,1/1/1994
1021,BERKSHIRE,LANESBOROUGH,CHESHIRE ROAD,,,NORTH OF,SUMMER ST.,2-WAY,42.5134003176,-73.2176448698,1908,1/1/2012
1022,BERKSHIRE,LANESBOROUGH,BULL HILL ROAD,,,NORTH OF,ROCK RD.,2-WAY,42.5065788807,-73.2503697962,2331,1/1/2012
1023,BERKSHIRE,PITTSFIELD,WEST STREET,,,WEST OF,CHURCHILL ST.,2-WAY,42.4559832648,-73.3040506322,5126,1/1/2012
1024,BERKSHIRE,PITTSFIELD,MERRIAM STREET,,,SOUTH OF,WEST ST.,2-WAY,42.449922986,-73.266156057,4121,1/1/2012
1025,BERKSHIRE,PITTSFIELD,VALENTINE ROAD,,,NORTH OF,WEST ST.,2-WAY,42.4565408119,-73.2775344159,5612,1/1/2012
1026,BERKSHIRE,PITTSFIELD,HANCOCK ROAD,,,WEST OF,RTE. 7 (NORTH ST.),2-WAY,42.4838867451,-73.2460800825,3982,1/1/2012
1027,BERKSHIRE,PITTSFIELD,PECKS ROAD,,,NORTH OF,LAKEWAY DRIVE,2-WAY,42.4781991078,-73.2686655031,3576,1/1/2012
1028,BERKSHIRE,PITTSFIELD,HIGHLAND AVENUE,,,NORTH OF,PECKS RD.,2-WAY,42.4760392562,-73.2645538839,3746,1/1/2012
1029,BERKSHIRE,PITTSFIELD,NORTH STREET,,,SOUTH OF,PONTOOSUC AVE,2-WAY,42.4654383915,-73.2459385272,10453,1/1/2012
1030,BERKSHIRE,PITTSFIELD,WEST HOUSATONIC STREET,,,EAST OF,GALE ST.,2-WAY,42.4424425571,-73.2772026627,11812,1/1/2012
1031,BERKSHIRE,PITTSFIELD,SOUTH STREET,,,SOUTH OF,TAYLOR ST.,2-WAY,42.4383777344,-73.2568088615,21154,1/1/2012
1032,BERKSHIRE,PITTSFIELD,CROFUT STREET,,,EAST OF,RTES.7 & 20,2-WAY,42.4381095881,-73.2515819685,4082,1/1/2012
1033,BERKSHIRE,PITTSFIELD,SOUTH MOUNTAIN ROAD,,,WEST OF,RTES.7 & 20,2-WAY,42.4295714804,-73.2595318387,1441,1/1/2012
1034,BERKSHIRE,PITTSFIELD,BARKER ROAD,,,AT,RICHMOND,2-WAY,42.414650717,-73.3125063407,4350,1/1/2012
1035,BERKSHIRE,PITTSFIELD,DEPOT STREET,,,WEST OF,NORTH ST.,2-WAY,42.4500615718,-73.2565589589,6715,1/1/2012
1036,BERKSHIRE,PITTSFIELD,BURBANK STREET,,,EAST OF,FIRST ST (RTE.7),2-WAY,42.4579374853,-73.2479429656,1198,1/1/2012
1037,BERKSHIRE,PITTSFIELD,SPRINGSIDE AVENUE,,,WEST OF,BENEDICT AVE.,2-WAY,42.4593704696,-73.2302396402,4456,1/1/2012
1038,BERKSHIRE,PITTSFIELD,CRANE AVENUE,,,EAST OF,OAK HILL RD.,2-WAY,42.4683566096,-73.2076237492,8233,1/1/2012
1039,BERKSHIRE,PITTSFIELD,APPLETON AVENUE,,,NORTH OF,DAWES AVE.,2-WAY,42.4434392896,-73.2479708008,2088,1/1/2012
1040,BERKSHIRE,PITTSFIELD,DAWES AVENUE,,,EAST OF,HIGH ST.,2-WAY,42.4402439962,-73.2461958288,2300,1/1/1991
1041,BERKSHIRE,PITTSFIELD,HIGH STREET,,,NORTH OF,DAWES AVE.,2-WAY,42.4415803071,-73.2466012704,430,1/1/1994
1042,BERKSHIRE,PITTSFIELD,WILLIAMS STREET,,,EAST OF,HOLMES RD.,2-WAY,42.4357297389,-73.2354877488,6689,1/1/2012
1043,BERKSHIRE,PITTSFIELD,ELM STREET,,,WEST OF,ONTARIO ST.,2-WAY,42.4432323999,-73.2344012903,11259,1/1/2012
1044,BERKSHIRE,PITTSFIELD,NEWELL STREET,,,SOUTH OF,EAST ST.,2-WAY,42.4525025983,-73.2266456006,10381,1/1/2012
1045,BERKSHIRE,PITTSFIELD,DALTON AVENUE,,,WEST OF,MERRILL RD.,2-WAY,42.4657985108,-73.2082580227,18511,1/1/2012
1046,BERKSHIRE,CHESHIRE,SOUTH STREET,,,AT,LANESBOROUGH,2-WAY,42.5175959456,-73.1924822005,12720,1/1/2012
1047,BERKSHIRE,CHESHIRE,NORTH STREET,,,SOUTH OF,FRED MASON RD.,2-WAY,42.5809871493,-73.14789795,13078,1/1/2012
1048,BERKSHIRE,CHESHIRE,NORTH STREET,,,NORTH OF,CHURCH ST.,2-WAY,42.5627144707,-73.1651880375,17325,1/1/2012
1049,BERKSHIRE,CHESHIRE,FRED MASON ROAD,,,NORTH OF,RTE. 8 (NORTH ST.),2-WAY,42.5851080847,-73.1479736974,1100,1/1/1992
105,BERKSHIRE,LANESBOROUGH,SOUTH MAIN STREET,,,NORTH OF,PITTSFIELD,2-WAY,42.4939733576,-73.2387601201,8347,12/12/1984
1050,BERKSHIRE,CHESHIRE,CHURCH STREET,,,EAST OF,RTE. 8,2-WAY,42.5619664674,-73.1651212938,4400,1/1/1995
1051,BERKSHIRE,SAVOY,LOOP ROAD,,,NORTH OF,RTES.116 & 8A,2-WAY,42.5494978743,-72.986554276,300,1/1/1995
1052,BERKSHIRE,SAVOY,ADAMS ROAD,,,AT,ADAMS,2-WAY,42.6175672794,-73.0658499808,100,1/1/1992
1053,BERKSHIRE,SAVOY,FLORIDA ROAD,,,AT,FLORIDA,2-WAY,42.6489411259,-73.0473877138,100,1/1/1992
1054,BERKSHIRE,ADAMS,ORCHARD STREET,,,AT,CHESHIRE,2-WAY,42.596289095,-73.1179892734,2562,1/1/2013
1055,BERKSHIRE,ADAMS,LEONARD STREET,,,WEST OF,RTE.116,2-WAY,42.6063775965,-73.119213702,2615,4/8/2010
1056,BERKSHIRE,ADAMS,EAST ROAD,,,SOUTH OF,BOLLING RD.,2-WAY,42.6140749861,-73.102256901,1564,1/1/2012
1057,BERKSHIRE,ADAMS,NORTH SUMMER STREET,,,SOUTH OF,LIME ST.,2-WAY,42.6387623017,-73.1068647229,2000,1/1/1992
1058,BERKSHIRE,ADAMS,HOOSAC STREET,,,WEST OF,SUMMER ST.,2-WAY,42.6250556196,-73.1140242594,2875,1/1/2012
1059,BERKSHIRE,ADAMS,FRIEND STREET,,,SOUTH OF,RTE.8,2-WAY,42.63684434,-73.1137937227,1822,1/1/2013
1060,BERKSHIRE,ADAMS,MAPLE STREET,,,EAST OF,FORREST PARK AVE.,2-WAY,42.62623396,-73.1241825652,1328,1/1/2012
1061,BERKSHIRE,ADAMS,COMMERCIAL STREET,,,SOUTH OF,PARK ST.,2-WAY,42.6194934297,-73.1206071191,15219,1/1/2012
1062,BERKSHIRE,ADAMS,SPRING STREET,,,,BTWN.PLEASANT & DEAN STS.,2-WAY,42.6216845417,-73.1180573482,1300,1/1/1992
1063,BERKSHIRE,ADAMS,FISK STREET,,,EAST OF,WEST RD.,2-WAY,42.6191441208,-73.1332577201,649,1/1/2012
1064,BERKSHIRE,ADAMS,GLENN STREET,,,WEST OF,RTE.116,2-WAY,42.6130669757,-73.118648239,546,1/1/1990
1065,BERKSHIRE,LENOX,EAST STREET,,,AT,PITTSFIELD,2-WAY,42.4051787347,-73.2534177132,2626,1/1/2012
1066,BERKSHIRE,LENOX,LENOX LEE STATE ROAD,,,AT,LEE,2-WAY,42.3275985816,-73.2628307701,11375,1/1/2012
1067,BERKSHIRE,LENOX,VETERANS MEMORIAL HIGHWAY,,,AT,LEE,2-WAY,42.3237648983,-73.288168992,6757,1/1/2012
1068,BERKSHIRE,RICHMOND,SUMMIT ROAD,,,EAST OF,RTE.41,2-WAY,42.3956557786,-73.3659936377,7794,1/1/2012
1069,BERKSHIRE,LENOX,HOLMES ROAD,,,AT,PITTSFIELD,2-WAY,42.4056122948,-73.2574802341,10599,1/1/2013
107,BERKSHIRE,PITTSFIELD,SOUTH STREET,,,NORTH OF,LENOX,2-WAY,42.4072603009,-73.2639910667,15733,12/12/1984
1070,BERKSHIRE,LENOX,NEW LENOX ROAD,,,WEST OF,E.NEW LENOX RD.,2-WAY,42.3933253292,-73.2355939175,888,1/1/1989
1071,BERKSHIRE,DALTON,OLD WINDSOR ROAD,,,EAST OF,EAST ST.,2-WAY,42.4736927243,-73.1409059958,1800,1/1/1994
1072,BERKSHIRE,WINDSOR,BERKSHIRE TRAIL,,,WEST OF,DALTON RD.,2-WAY,42.4945523655,-73.1096035607,4274,1/1/2012
1073,BERKSHIRE,DALTON,EAST STREET,,,SOUTH OF,MAIN ST.,2-WAY,42.4731520402,-73.1449676196,8132,1/1/2012
1074,BERKSHIRE,DALTON,HINSDALE ROAD,,,SOUTH OF,EAST ST.,2-WAY,42.4672443795,-73.141005738,3275,1/1/2012
1075,BERKSHIRE,DALTON,EAST HOUSATONIC STREET,,,WEST OF,RTE.8,2-WAY,42.4680157605,-73.1489710609,3695,1/1/2012
1076,BERKSHIRE,DALTON,SOUTH STREET,,,SOUTH OF,MAIN ST.,2-WAY,42.4697390477,-73.1796652671,5697,1/1/2012
1077,BERKSHIRE,DALTON,HIGH STREET,,,EAST OF,CURTIS AVE.,2-WAY,42.4788002954,-73.1698520798,1827,1/1/2012
1078,BERKSHIRE,DALTON,PARK AVENUE,,,SOUTH OF,HIGH ST.,2-WAY,42.479946039,-73.1752304107,1550,1/1/2012
1079,BERKSHIRE,HINSDALE,PITTSFIELD ROAD,,,AT,DALTON,2-WAY,42.4240572642,-73.1654701881,830,1/1/1993
108,BERKSHIRE,PITTSFIELD,WEST HOUSATONIC STREET,,,EAST OF,RTE. 41 (REPLACED BY STA 1176),2-WAY,42.431470746,-73.3319115772,6984,12/12/1984
1080,BERKSHIRE,PERU,SOUTH ROAD EXTENSION,,,NORTH OF,MIDDLEFIELD RD.,2-WAY,42.3984339364,-73.0504349817,70,1/1/1993
1081,BERKSHIRE,PERU,EAST WINDSOR ROAD,,,NORTH OF,NORTH RD.,2-WAY,42.4543991527,-73.0439667981,290,1/1/1994
1082,BERKSHIRE,PERU,RAYMOND ROAD,,,AT,HINSDALE,2-WAY,42.4529562797,-73.0778293263,220,1/1/1993
1083,BERKSHIRE,STOCKBRIDGE,EAST STREET,,,AT,LEE,2-WAY,42.3094141319,-73.2887649094,5929,1/1/2012
1084,BERKSHIRE,STOCKBRIDGE,LAKE ROAD,,,SOUTH OF,MASS. PIKE,2-WAY,42.2998095731,-73.3172203655,910,1/1/1990
1085,BERKSHIRE,STOCKBRIDGE,GREAT BARRINGTON ROAD,,,AT,GREBARRINGTON,2-WAY,42.2582860621,-73.3282639334,11231,1/1/2012
1086,BERKSHIRE,WEST STOCKBRIDGE,STATE LINE ROAD,,,EAST OF,BAKER ST.,2-WAY,42.3369522281,-73.3896622285,2968,1/1/2012
1087,BERKSHIRE,WEST STOCKBRIDGE,STOCKBRIDGE ROAD,,,AT,STOCKBRIDGE,2-WAY,42.3201406178,-73.3578437501,2190,1/1/2012
1088,BERKSHIRE,LEE,EAST CENTER STREET,,,WEST OF,EAST ST.,2-WAY,42.313406042,-73.2341502804,2100,1/1/1991
1089,BERKSHIRE,LEE,CHURCH STREET,,,NORTH OF,RTE.102,2-WAY,42.2784134153,-73.2773865203,640,1/1/1993
109,BERKSHIRE,PITTSFIELD,DALTON AVENUE,,,WEST OF,DALTON,2-WAY,42.470856021,-73.1865402988,14000,1/1/1991
1090,BERKSHIRE,LEE,MAIN STREET,,,SOUTH OF,CENTER ST.,2-WAY,42.3096950253,-73.2517431637,14736,1/1/2012
1091,BERKSHIRE,LEE,HIGH STREET,,,NORTH OF,WEST PARK ST.,2-WAY,42.3049811756,-73.2471602859,3400,1/1/1993
1092,BERKSHIRE,LEE,EAST STREET,,,NORTH OF,MAPLE ST.,2-WAY,42.3054745294,-73.229828377,1660,1/1/2012
1093,BERKSHIRE,LEE,PARK STREET,,,EAST OF,MAIN ST.,2-WAY,42.3041879085,-73.2484299597,17137,1/1/2012
1094,BERKSHIRE,LEE,HOUSATONIC STREET,,,SOUTH OF,WEST PARK ST.,2-WAY,42.3040063649,-73.2455653209,20010,1/1/2012
1095,BERKSHIRE,LEE,MARBLE STREET,,,NORTH OF,RTE.102,2-WAY,42.2863215001,-73.2459606456,850,1/1/1995
1096,BERKSHIRE,LEE,CAPE STREET,,,AT,BECKET,2-WAY,42.2927919496,-73.1605066773,5625,1/1/2012
1097,BERKSHIRE,LEE,TYRINGHAM ROAD,,,AT,TYRINGHAM,2-WAY,42.2691815422,-73.2342880291,1573,1/1/2012
1098,BERKSHIRE,LEE,MEADOW STREET,,,WEST OF,TYRINGHAM RD.,2-WAY,42.273920361,-73.238612763,670,1/1/1995
1099,BERKSHIRE,ALFORD,EAST ROAD,,,NORTH OF,ALFORD RD.,2-WAY,42.2384199268,-73.4112941023,430,1/1/1995
11,HAMPSHIRE,NORTHAMPTON,NORTH KING STREET,,,SOUTH OF,HATFIELD,2-WAY,42.3445054137,-72.6429022562,8440,8/4/2013
1100,BERKSHIRE,ALFORD,GREEN RIVER ROAD,,,AT,GT.BARRINGTON,2-WAY,42.2151452129,-73.4145304549,2100,1/1/2002
1101,BERKSHIRE,GREAT BARRINGTON,STOCKBRIDGE ROAD,,,SOUTH OF,MONUMENT VALLEY RD.,2-WAY,42.2475882705,-73.3321539519,10891,1/1/2012
1102,BERKSHIRE,GREAT BARRINGTON,STOCKBRIDGE ROAD,,,NORTH OF,RTE.23,2-WAY,42.2016624881,-73.3480497226,19635,1/1/2012
1103,BERKSHIRE,GREAT BARRINGTON,STATE ROAD,,,EAST OF,RTE.41,2-WAY,42.201576457,-73.3563491237,17559,1/1/2012
1104,BERKSHIRE,GREAT BARRINGTON,MAIN STREET,,,NORTH OF,COTTAGE ST.,2-WAY,42.1978221399,-73.3612188108,17731,1/1/2012
1105,BERKSHIRE,GREAT BARRINGTON,BRIDGE STREET,,,EAST OF,RTE.7,2-WAY,42.1937307086,-73.3627494084,4900,1/1/1995
1106,BERKSHIRE,GREAT BARRINGTON,EAST STREET,,,NORTH OF,BRIDGE ST.,2-WAY,42.1930217797,-73.3562130123,2700,1/1/1993
1107,BERKSHIRE,GREAT BARRINGTON,DIVISION STREET,,,SOUTH OF,ALFORD ST.,2-WAY,42.216760023,-73.3976129839,870,1/1/1994
1108,BERKSHIRE,GREAT BARRINGTON,DIVISION STREET,,,WEST OF,RTE.41,2-WAY,42.2270245015,-73.3641649155,1500,1/1/1993
1109,BERKSHIRE,MONTEREY,SANDISFIELD ROAD,,,SOUTH OF,RTE.23,2-WAY,42.1774683419,-73.2081282322,320,1/1/1994
1110,BERKSHIRE,MONTEREY,ROUTE 23,,,WEST OF,TYRINGHAM RD.,2-WAY,42.1794467343,-73.213258866,2127,1/1/2012
1111,BERKSHIRE,MONTEREY,TYRINGHAM ROAD,,,AT,TYRINGHAM,2-WAY,42.2137252146,-73.1969642944,520,1/1/1994
1112,BERKSHIRE,MONTEREY,TYRINGHAM ROAD,,,NORTH OF,RTE.23,2-WAY,42.1795942574,-73.2123557151,930,1/1/1994
1113,BERKSHIRE,BECKET,WERDEN OTIS ROAD,,,AT,OTIS,2-WAY,42.2438915162,-73.1120884797,210,1/1/1992
1114,BERKSHIRE,BECKET,ROUTE 8,,,AT,OTIS,2-WAY,42.2522039943,-73.1256561658,2524,1/1/2012
1115,BERKSHIRE,BECKET,ROUTE 8,,,NORTH OF,WADE INN RD.,2-WAY,42.2925713844,-73.0575928896,1916,1/1/2012
1116,BERKSHIRE,BECKET,JACOBS LADDER ROAD,,,EAST OF,MASS.PIKE,2-WAY,42.2614973765,-73.1270487674,1820,1/1/2012
1117,BERKSHIRE,OTIS,COLD SPRING ROAD,,,AT,SANDISFIELD,2-WAY,42.1494872584,-73.081480366,70,1/1/1993
1118,BERKSHIRE,EGREMONT,EGREMONT PLAIN ROAD,,,AT,ALFORD,2-WAY,42.2155761828,-73.44349142,1099,1/1/2012
1119,BERKSHIRE,EGREMONT,BLUNT ROAD,,,NORTH OF,RTE.23,2-WAY,42.171172392,-73.4578403032,290,1/1/1994
1120,BERKSHIRE,MOUNT WASHINGTON,EAST STREET,,,AT,CONNECTICUT STATE LINE,2-WAY,42.0501847326,-73.4668779407,10,1/1/1993
1121,BERKSHIRE,MOUNT WASHINGTON,CROSS ROAD,,,EAST OF,WEST ST.,2-WAY,42.0994290579,-73.4655516044,210,1/1/1991
1122,BERKSHIRE,MOUNT WASHINGTON,EAST STREET BRANCH,,,EAST OF,WEST ST.,2-WAY,42.1275002788,-73.4752238393,220,1/1/1991
1123,BERKSHIRE,SHEFFIELD,BULL HILL ROAD,,,WEST OF,RTE.7A,2-WAY,42.0658101832,-73.3511365557,60,1/1/1991
1124,BERKSHIRE,NEW MARLBOROUGH,NEW MARLBOROUGH - SOUTHFIELD ROAD,,,SOUTH OF,RTE.57,2-WAY,42.1219766306,-73.2309845597,993,1/1/2012
1125,BERKSHIRE,NEW MARLBOROUGH,MILL RIVER GREAT BARRINGTON ROAD,,,NORTH OF,SHEFFIELD CROSS RD.,2-WAY,42.1532573254,-73.2772581168,960,1/1/1995
1126,BERKSHIRE,NEW MARLBOROUGH,MILL RIVER GREAT BARRINGTON ROAD,,,AT,GT.BARRINGTON,2-WAY,42.1675801047,-73.2883075414,830,1/1/1992
1127,BERKSHIRE,NEW MARLBOROUGH,CANAAN SOUTHFIELD ROAD,,,SOUTH OF,CROSS RD.,2-WAY,42.071724695,-73.277623987,460,1/1/1992
1128,BERKSHIRE,SANDISFIELD,TOWN HILL ROAD,,,AT,OTIS,2-WAY,42.1803544014,-73.1463749453,180,1/1/1995
1129,BERKSHIRE,SANDISFIELD,ROUTE 8,,,AT,OTIS,2-WAY,42.1396951247,-73.0706116129,2620,1/1/2012
1130,HAMPDEN,CHESTER,MAIN STREET,,,EAST OF,MIDDLEFIELD RD.,2-WAY,42.2792785567,-72.9821697163,2074,1/1/2012
1131,HAMPDEN,CHESTER,MIDDLEFIELD STREET,,,NORTH OF,MAIN ST.,2-WAY,42.2799967569,-72.9826524818,970,1/1/1995
1132,HAMPDEN,CHESTER,WEST MAIN STREET,,,WEST OF,MIDDLEFIELD RD.,2-WAY,42.2796366298,-72.9839616683,1689,1/1/2012
1133,HAMPDEN,BLANDFORD,HUNTINGTON ROAD,,,EAST OF,JOHN KNOX RD.,2-WAY,42.2060996986,-72.9244283706,,
1134,HAMPDEN,MONTGOMERY,CARRINGTON ROAD,,,SOUTH OF,MAIN RD,2-WAY,42.238869422,-72.8557657184,320,1/1/1994
1135,BERKSHIRE,MONTEREY,RIVER ROAD,,,AT,NEW MARLBOROUGH,2-WAY,42.1680241264,-73.2521387609,340,1/1/1994
1136,HAMPSHIRE,WORTHINGTON,OLD NORTH ROAD,,,WEST OF,RTE.112,2-WAY,42.4108917382,-72.9367365043,1434,1/1/2012
1137,HAMPSHIRE,WORTHINGTON,OLD POST ROAD,,,EAST OF,RTE.112,2-WAY,42.4094029969,-72.935608099,600,1/1/1993
1138,HAMPSHIRE,MIDDLEFIELD,CLARK WRIGHT ROAD,,,WEST OF,RIVER RD.,2-WAY,42.3516167373,-72.9617492774,60,1/1/1993
1139,HAMPSHIRE,MIDDLEFIELD,ARTHUR PEASE ROAD,,,NORTH OF,BELL RD.,2-WAY,42.3549725191,-73.0035996221,170,1/1/1992
1140,HAMPDEN,TOLLAND,EAST OTIS ROAD,,,NORTH OF,RTE.57,2-WAY,42.0912778031,-73.0601966955,80,1/1/1993
1141,HAMPDEN,TOLLAND,ROUTE 8,,,AT,SANDISFIELD,2-WAY,42.0743641298,-73.063275793,2200,1/1/1992
1142,BERKSHIRE,NORTH ADAMS,HOLDEN STREET,,,NORTH OF,RTE.2,2-WAY,42.7005160553,-73.1119068039,3422,1/1/2012
1143,BERKSHIRE,NORTH ADAMS,AMERICAN LEGION DRIVE,,,,BTWN. RTE.8 & SUMMER ST.,2-WAY,42.6986067224,-73.113113698,4224,1/1/2012
1144,BERKSHIRE,CHESHIRE,WINDSOR ROAD,,,WEST OF,RICHMOND HILL RD.,2-WAY,42.5633460268,-73.1037274489,240,1/1/1992
1145,BERKSHIRE,SAVOY,BURNETT ROAD BRANCH,,,SOUTH OF,BURNETT RD.,2-WAY,42.6252872369,-73.0334965246,47,1/1/1990
1146,BERKSHIRE,PITTSFIELD,SOUTH STREET,,,NORTH OF,RTE.20,2-WAY,42.4456258478,-73.2547580119,20092,1/1/2012
1147,BERKSHIRE,PITTSFIELD,NORTH STREET,,,SOUTH OF,MAPLEWOOD AVE.,2-WAY,42.4547454665,-73.2520325316,13057,1/1/2012
1148,BERKSHIRE,PITTSFIELD,WEST STREET,,,WEST OF,RTE. 7 ROTARY,2-WAY,42.4483840225,-73.2540889659,8876,1/1/2012
1149,BERKSHIRE,PITTSFIELD,EAST STREET,,,EAST OF,SECOND ST.,2-WAY,42.4473782449,-73.2473987604,21197,1/1/2012
1150,BERKSHIRE,PITTSFIELD,COLUMBUS AVENUE,,,WEST OF,RTE.7,2-WAY,42.4518806074,-73.2557118016,6063,1/1/2012
1151,BERKSHIRE,PITTSFIELD,CENTER STREET,,,NORTH OF,RTE.20,2-WAY,42.446211509,-73.2578793434,10326,1/1/2012
1152,BERKSHIRE,PITTSFIELD,EAGLE STREET,,,EAST OF,RTE.7,1-WAY,42.4512541811,-73.2508437556,1764,1/1/2012
1153,BERKSHIRE,PITTSFIELD,MAPLEWOOD AVENUE,,,EAST OF,FIRST ST.,2-WAY,42.4545628619,-73.2486387038,917,1/1/2012
1154,BERKSHIRE,PITTSFIELD,BURBANK STREET,,,SOUTH OF,TYLER ST.,2-WAY,42.4561883108,-73.2406350159,1393,1/1/2012
1155,BERKSHIRE,PITTSFIELD,TYLER STREET,,,EAST OF,RTE.9,2-WAY,42.4559277496,-73.2316624554,2326,1/1/2012
1156,BERKSHIRE,PITTSFIELD,MEADOW LANE,,,NORTH OF,ELM ST.,2-WAY,42.4450610233,-73.2360355106,5106,1/1/2012
1157,BERKSHIRE,PITTSFIELD,BENEDICT ROAD,,,SOUTH OF,CRANE AVE.,2-WAY,42.4712778784,-73.22930799,3170,1/1/2012
1158,BERKSHIRE,PITTSFIELD,ELBERON AVENUE,,,EAST OF,BRIGHTON AVE.,2-WAY,42.462116689,-73.2225395729,925,1/1/2012
1159,BERKSHIRE,PITTSFIELD,LINCOLN STREET,,,,BTWN. SECOND & CHERRY STS.,2-WAY,42.4547176009,-73.2450305089,5863,1/1/2012
1160,BERKSHIRE,WINDSOR,EAST WINDSOR ROAD,,,WEST OF,WORTHINGTON RD.,2-WAY,42.4724637928,-72.9897714905,290,1/1/1994
1161,BERKSHIRE,EGREMONT,MOUNT WASHINGTON ROAD,,,,MOUNT WASHINGTON,2-WAY,42.1522579582,-73.4763204696,420,1/1/2012
1162,BERKSHIRE,NEW MARLBOROUGH,ADSIT CROSBY ROAD CONNECTOR,,,,BTW. ADSIT CRO. & HARTSVILL MILL RD,2-WAY,42.156490861,-73.265550929,260,1/1/1995
1163,BERKSHIRE,PITTSFIELD,WINTER STREET,,,AT,BURBANK ST.,2-WAY,42.4569578258,-73.2401265293,443,1/1/2012
1164,BERKSHIRE,LANESBOROUGH,NORTH MAIN STREET,,,SOUTH OF,BRIDGE ST.,2-WAY,42.5189620419,-73.2278855965,8990,1/1/2012
1165,BERKSHIRE,LANESBOROUGH,BALANCE ROCK ROAD,,,WEST OF,NARRAGANSETT AVE.,2-WAY,42.5074478765,-73.252972855,1620,1/1/2012
1166,BERKSHIRE,LANESBOROUGH,SUMMER STREET,,,WEST OF,CHESHIRE RD.,2-WAY,42.513868093,-73.2201941636,5155,1/1/2012
1167,BERKSHIRE,CHESHIRE,NORTH STREET,,,AT,ADAMS,2-WAY,42.5967764213,-73.1404210949,16175,1/1/2012
1168,BERKSHIRE,PITTSFIELD,WEST STREET,,,WEST OF,TOR COURT,2-WAY,42.453016968,-73.285283354,7888,1/1/2012
